브랜드명,제품명,기능성상태,용량,가격,할인가격,구매링크,전성분,주성분(홍보성분),제형,사용방식,주요목적,pH,자극도,각질타입,알코올,향료,수렴성(모공 작아지는),피지조절,주요성분,흡수속도,레이어링,광민감성,사용빈도,피부타입메모,,,,
,,official_verified / brand_disclosed / inferred / unknown,,UNDER_20000 / BETWEEN_20000_50000 / OVER_50000,,,JSON 형식,hyaluronic_acid / glycerin / niacinamide / witch_hazel / tea_tree / centella / panthenol / aloe / chamomile / rose_water / ceramide / vitamin_c / peptide / green_tea,water / viscous / pad / mist,wipe / press / both,hydration / exfoliation / balancing / oil_control / calming / brightening / anti_aging / barrier,숫자,low / medium / high,none / aha / bha / pha / mixed,true / false,true / false,none / low / medium / high,none / low / medium / high,,slow / medium / fast,good / fair / poor,true / false,daily / weekly_1_3 / as_needed,,,,,
,넘버즈인 1번 진정 맑게담은 청초토너,x,300ml,"26,000",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177757,"정제수, 1,2-헥산다이올, 다이프로필렌글라이콜, 프로판다이올, 부틸렌글라이콜, 글리세린, 감초뿌리추출물, 약모밀추출물, 카보머, 병풀추출물, 하이드록시에틸셀룰로오스, 알지닌, 알란토인, 다이소듐이디티에이, 하수오전초추출물, 베타인, 히아신스전초추출물, 판테놀, 알바수련꽃추출물","감초,어성초,병풀, 판테놀, 알란토인",워터,닥토,"calming,oil_control",약산성(추정),low,none,x,x,,,,fast,good ,FALSE,daily,민감/트러블 피부 적합,,,,
,라운드랩 자작나무 진정 시카 토너,x,250ml,"23,000",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184790,"정제수, 프로판다이올, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 소나무잎추출물 (5,010ppm), 에틸헥실글리세린, 병풀추출물 (60.6ppm), 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 글라이코프로테인 (1.002ppm), 글루코노락톤, 카프릴로일살리실릭애씨드, 소듐시트레이트, 하이드록시아세토페논, 아시아티코사이드 (0.0501ppm), 아시아틱애씨드 (0.0501ppm), 마데카소사이드 (0.0501ppm), 마데카식애씨드 (0.0501ppm), 다이소듐이디티에이, 시트릭애씨드","LHA,PHA,히알루론산",워터,닥토/흡토,진정,약산성,low,"LHA,PHA,히알루론산",FALSE,FALSE,none,medium,"glycerin, hyaluronic_acid, centella",fast,good,TRUE,daily,,,,,
,라운드랩 1025 독도 토너,x,500ml?,"30,000원",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137180,"정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이","AHA, 판테놀, 알란토인, 베타인, 글리세린, 사탕수수 추출물",워터,닥토,"진정,exfoliation",약산성,low,AHA,FALSE,FALSE,none,none,"glycerin, panthenol",fast,good,FALSE,daily,,,,,
토리든,토리든 다이브인 저분자 히알루론산 토너 500ml,x,500ml?,"29,000원",18810,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180474,"다이브인 저분자 히알루론산 토너 500ml (본품) 정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 쇠비름추출물, 트레할로오스, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(100ppm), 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 2,3-부탄다이올, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린","판테놀, 히알루론산",워터,닥토,"hydration, calming,oil_control",약산성,,,FALSE,FALSE,none,none,"glycerin, hyaluronic_acid, panthenol",fast,good,FALSE,daily,,,,,
아누아,아누아 어성초 77 수딩 토너,x,250ml,"37,500원",25000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243621,"약모밀꽃/잎/줄기수(77%), 정제수, 1,2-헥산다이올, 글리세린, 글리세레스-26, 베타인, 펜틸렌글라이콜, 소듐시트레이트, 아이소펜틸다이올, 에틸헥실글리세린, 다이포타슘글리시리제이트, 시트릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 판테놀, 소듐파이테이트, 알란토인, 소듐하이알루로네이트, 약모밀소포, 하이드롤라이즈드소듐하이알루로네이트, 징크피씨에이, 하이드록시프로필트라이모늄하이알루로네이트, 락토바실러스발효물, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 아이소쿼시트린, 쿼세틴, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트","어성초, 판테놀, 히알루론산",워터,흡토/닥토/팩토,"hydration, exfoliation, calming",약산성,,,FALSE,FALSE,none,medium,"glycerin, hyaluronic_acid, panthenol",fast,good,FALSE,daily,,,,,
,청미정 알로에 토너,x,단종,,,,,,,,,,,,,,,,,,,,,,,,,
,에스네이처 아쿠아 오아시스 토너,x,300ml,25000,25000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158369,"정제수, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세린, 1,2- 헥산다이올, 베타인, 판테놀, 알란토인, 파파야열매추출물, 글루코노락톤, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 소듐하이알루로네이트, 글루코오스, 파파인, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머","Aquaxyl, 히알루론산, 베타인",워터,"닥토,흡토,팩토,미스트","hydration, exfoliation, calming",약산성,,,FALSE,FALSE,none,none,"glycerin, hyaluronic_acid, panthenol",fast,good,TRUE,daily,,,,,
,아비브 어성초 카밍 토너 스킨부스터,x,200ml,"23,000원",16100,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146589,"정제수, 글리세린, 부틸렌글라이콜, 펜틸렌글라이콜, 베타인, 1,2-헥산다이올, 자일리톨, 약모밀추출물(3,500 ppm), 판테놀, 에틸헥실글리세린, 소듐하이알루로네이트, 비피다발효용해물, 돌콩추출물, 다이소듐이디티에이, 하이드롤라이즈드하이알루로닉애씨드, 잔탄검, 옥탄다이올, 병풀추출물, 토코페롤, 인동덩굴꽃추출물, 황금추출물, 바이오사카라이드검-4, 파스향나무잎추출물","황금추출물, 금은화 추출물, 저분자 히알루론산",워터,,"exfoliation, calming",약산성,,,FALSE,FALSE,none,none,"glycerin, hyaluronic_acid, panthenol, centella",fast,good,FALSE,daily,,,,,
,순플러스 5.5 밸런싱 워터,x,단종,,,,,,,,,,,,,,,,,,,,,,,,,
